rt,choice,correct,dr,drt,participant
0.693,2,1,0,,S1
0.6347,2,1,0,,S1
0.633,1,1,0,,S1
0.6316,2,1,0,,S1
0.7098,2,1,0,,S1
0.6916,2,1,0,,S1
0.568,1,1,0,,S1
0.8064,1,1,0,,S1
0.5923999999999999,1,1,0,,S1
0.6249,2,0,0,,S1
0.4137,1,0,0,,S1
0.503,1,1,0,,S1
0.9394,1,1,0,,S1
0.7278,2,1,0,,S1
0.6771,2,1,0,,S1
0.4633,2,1,0,,S1
0.581,1,1,0,,S1
0.8332999999999999,1,1,0,,S1
0.7008,1,1,0,,S1
0.6357,2,1,0,,S1
0.5656,1,1,0,,S1
0.5902000000000001,2,1,0,,S1
0.5933999999999999,1,0,0,,S1
1.1837,2,0,0,,S1
0.6498999999999999,2,1,0,,S1
0.5434,2,1,0,,S1
0.6741,2,1,0,,S1
0.6048,1,1,0,,S1
0.49360000000000004,2,0,0,,S1
0.6015,2,0,0,,S1
0.72,2,1,0,,S1
0.6586000000000001,2,1,0,,S1
0.6412,2,0,0,,S1
0.5911000000000001,2,1,0,,S1
0.9206,1,1,0,,S1
0.6012000000000001,1,1,0,,S1
0.6391,2,1,0,,S1
0.49060000000000004,1,1,0,,S1
0.8623,2,1,0,,S1
0.7209,2,1,0,,S1
0.6201,2,0,0,,S1
0.9591000000000001,1,1,0,,S1
0.4779,1,1,0,,S1
0.6371,1,1,0,,S1
0.9155,2,1,0,,S1
0.7097,2,1,0,,S1
0.6005,2,1,0,,S1
0.4712,1,0,0,,S1
0.5286000000000001,1,0,0,,S1
0.6275,1,1,0,,S1
0.7948,1,1,0,,S1
0.5629,1,1,0,,S1
0.6664,1,1,0,,S1
0.955,2,1,0,,S1
0.7089,2,1,0,,S1
0.6513,2,1,0,,S1
0.6981,2,1,0,,S1
0.638,2,1,0,,S1
0.7259,2,0,0,,S1
0.4977,2,1,0,,S1
0.7641,2,1,0,,S1
0.5159,2,1,0,,S1
0.5347999999999999,2,1,0,,S1
0.475,2,1,0,,S1
0.5296000000000001,2,1,0,,S1
0.5869,2,1,0,,S1
0.63,1,1,0,,S1
0.5109,1,1,0,,S1
0.5284,1,1,0,,S1
0.5876,2,1,0,,S1
0.708,1,1,0,,S1
0.5251,1,1,0,,S1
0.5024,1,1,0,,S1
0.6254,2,1,0,,S1
0.5525,1,1,0,,S1
0.7715,1,1,0,,S1
0.7173999999999999,2,1,0,,S1
0.6127,2,1,0,,S1
0.622,1,1,0,,S1
0.5718,2,1,0,,S1
0.6463,2,1,0,,S1
0.6063,1,1,0,,S1
0.5041,2,0,0,,S1
0.6359,2,1,0,,S1
0.6052000000000001,1,1,0,,S1
0.5051,2,1,0,,S1
0.42810000000000004,1,0,0,,S1
1.0497999999999998,2,1,0,,S1
0.5338999999999999,1,0,0,,S1
1.0406,2,1,0,,S1
0.6265,2,1,0,,S1
0.7671,2,1,0,,S1
0.6748999999999999,2,1,0,,S1
0.6264,2,1,0,,S1
0.5141,2,1,0,,S1
0.6149,1,1,0,,S1
0.5487000000000001,1,1,0,,S1
0.7218,2,1,0,,S1
0.5769,2,1,0,,S1
0.5742,1,1,0,,S1
0.6314,1,1,0,,S1
0.9111,2,1,0,,S1
0.6006,1,1,0,,S1
0.496,1,1,0,,S1
0.6087,2,1,0,,S1
0.5418,1,0,0,,S1
0.5477000000000001,1,1,0,,S1
0.5176000000000001,1,1,0,,S1
0.45630000000000004,1,1,0,,S1
0.4808,1,1,0,,S1
0.7382000000000001,2,1,0,,S1
0.7474,2,1,0,,S1
0.5047,2,1,0,,S1
0.49860000000000004,2,1,0,,S1
0.5451,2,1,0,,S1
0.655,1,1,0,,S1
0.5542,2,0,0,,S1
0.7904,2,1,0,,S1
0.6246,1,1,0,,S1
0.4213,1,1,0,,S1
0.5054,1,1,0,,S1
0.7298,1,1,0,,S1
0.5852,1,0,0,,S1
0.775,2,1,0,,S1
0.6493,2,1,0,,S1
0.7928999999999999,1,1,0,,S1
0.5192,2,1,0,,S1
0.43860000000000005,2,1,0,,S1
0.4064,2,1,0,,S1
0.4169,2,1,0,,S1
0.5121,1,1,0,,S1
0.6607000000000001,2,1,0,,S1
0.5444,1,1,0,,S1
0.5101,1,0,0,,S1
0.7627999999999999,1,1,0,,S1
0.8092,1,1,0,,S1
0.6724,2,1,0,,S1
0.42810000000000004,2,1,0,,S1
0.5411,1,1,0,,S1
0.4425,2,1,0,,S1
0.4965,1,1,0,,S1
0.4079,1,1,0,,S1
0.4587,1,1,0,,S1
0.5858,1,1,0,,S1
0.6272000000000001,2,1,0,,S1
0.5207999999999999,1,1,0,,S1
0.6638999999999999,1,1,0,,S1
0.5662,1,0,0,,S1
0.5466,1,0,0,,S1
0.6367,1,1,0,,S1
0.4595,1,1,0,,S1
0.592,2,1,0,,S1
0.5522,1,1,0,,S1
0.404,1,0,0,,S1
0.5625,1,0,0,,S1
0.5292,1,1,0,,S1
0.9594,1,0,0,,S1
0.5174,1,0,0,,S1
0.692,1,1,0,,S1
0.7096,1,1,0,,S1
0.7041000000000001,1,0,0,,S1
0.9367000000000001,2,1,0,,S1
0.516,2,0,0,,S1
0.7713,1,1,0,,S1
0.5272,1,1,0,,S1
0.527,1,1,0,,S1
0.4796,1,1,0,,S1
0.7697,1,0,0,,S1
0.5889,1,1,0,,S1
0.4264,1,1,0,,S1
0.5405,2,1,0,,S1
0.5857,1,1,0,,S1
0.7111000000000001,2,0,0,,S1
0.8108,1,1,0,,S1
0.8112,2,1,0,,S1
0.5562,2,0,0,,S1
0.6332000000000001,1,1,0,,S1
0.438,1,0,0,,S1
0.5742999999999999,1,1,0,,S1
0.4442,1,1,0,,S1
0.4685,1,1,0,,S1
0.4405,1,0,0,,S1
0.534,1,1,0,,S1
0.36269999999999997,1,1,0,,S1
0.587,2,1,0,,S1
0.8966000000000001,1,1,0,,S1
0.7782,2,1,0,,S1
0.9742999999999999,2,1,0,,S1
0.6868,1,1,0,,S1
0.7365,2,1,0,,S1
0.6397,2,1,0,,S1
0.7045,2,1,0,,S1
0.664,1,1,0,,S1
0.6027,2,1,0,,S1
0.5631,1,1,0,,S1
0.5682,2,1,0,,S1
0.5686,1,1,0,,S1
0.5679,1,1,0,,S1
0.49910000000000004,1,1,0,,S1
0.45589999999999997,1,1,0,,S1
0.4762,1,1,0,,S1
0.44789999999999996,1,1,0,,S1
0.6334,2,1,0,,S1
0.6013999999999999,1,1,0,,S1
0.7007000000000001,1,1,0,,S1
0.5035,1,1,0,,S1
0.4747,1,1,0,,S1
0.43010000000000004,1,0,0,,S1
0.5226000000000001,1,1,0,,S1
0.7444,2,1,0,,S1
0.494,1,1,0,,S1
0.7285,2,1,0,,S1
0.4735,2,0,0,,S1
0.7774,2,1,0,,S1
0.831,2,1,0,,S1
0.5787,1,1,0,,S1
0.7062,2,1,0,,S1
0.6886,2,1,0,,S1
0.463,2,0,0,,S1
0.5687000000000001,2,1,0,,S1
0.8232999999999999,1,1,0,,S1
0.5132000000000001,1,1,0,,S1
0.5468999999999999,1,1,0,,S1
0.3201,1,1,0,,S1
0.30810000000000004,1,0,0,,S1
0.6469,1,1,0,,S1
0.3516,1,0,0,,S1
0.8734,1,0,0,,S1
0.7333999999999999,2,1,0,,S1
0.6931,2,1,0,,S1
0.9177000000000001,2,1,0,,S1
0.5992999999999999,1,0,0,,S1
1.1571,1,1,0,,S1
0.6402,2,1,0,,S1
1.3185,1,1,0,,S1
0.5831000000000001,2,1,0,,S1
0.6235,1,1,0,,S1
0.7022,2,0,0,,S1
0.5285,1,1,0,,S1
0.5632,2,0,0,,S1
0.6406000000000001,1,1,0,,S1
0.8157000000000001,2,1,0,,S1
0.5878,1,0,0,,S1
0.7511,2,0,0,,S1
0.6277999999999999,1,1,0,,S1
0.5645,1,1,0,,S1
0.6859,2,1,0,,S1
0.5378,1,1,0,,S1
0.4993,1,1,0,,S1
0.4875,1,1,0,,S1
1.0355999999999999,1,0,0,,S1
0.6259,1,1,0,,S1
0.7631,2,0,0,,S1
0.8612000000000001,2,1,0,,S1
0.5879,2,0,0,,S1
0.5338999999999999,1,0,0,,S1
0.6161,1,1,0,,S1
0.5782999999999999,1,1,0,,S1
0.5775,1,1,0,,S1
0.8232,2,1,0,,S1
0.5654,2,0,0,,S1
0.9013,1,0,0,,S1
0.5044,2,1,0,,S1
0.6449,1,1,0,,S1
0.663,2,1,0,,S1
0.6407999999999999,1,0,0,,S1
0.5734,1,1,0,,S1
0.5498,1,1,0,,S1
0.38139999999999996,1,1,0,,S1
0.5182,1,1,0,,S1
0.4626,1,1,0,,S1
0.3476,1,1,0,,S1
0.3745,1,1,0,,S1
0.31339999999999996,1,0,0,,S1
0.517,1,0,0,,S1
0.497,1,1,0,,S1
0.5336000000000001,1,0,0,,S1
0.9223,1,1,0,,S1
0.6345,2,1,0,,S1
0.5492,1,1,0,,S1
0.5628,2,0,0,,S1
0.9511000000000001,2,0,0,,S1
0.4477,1,1,0,,S1
0.5287000000000001,1,1,0,,S1
0.3579,1,1,0,,S1
0.44730000000000003,1,0,0,,S1
0.656,1,1,0,,S1
0.7472000000000001,2,1,0,,S1
0.6498999999999999,1,1,0,,S1
0.8171,2,1,0,,S1
0.7724,1,1,0,,S1
0.5892000000000001,2,0,0,,S1
0.6447,1,1,0,,S1
0.6477999999999999,2,1,0,,S1
0.6612,2,1,0,,S1
0.8431000000000001,2,1,0,,S1
0.5759,2,1,0,,S1
0.4258,2,1,0,,S1
0.4092,2,1,0,,S1
0.49789999999999995,2,1,0,,S1
0.5367999999999999,2,1,0,,S1
0.5079,2,1,0,,S1
0.3885,2,1,0,,S1
0.6254,1,1,0,,S1
0.45230000000000004,2,1,0,,S1
0.5487000000000001,2,0,0,,S1
0.521,1,0,0,,S1
0.6508999999999999,1,1,0,,S1
0.6171,2,1,0,,S1
0.6899,1,0,0,,S1
0.5091,2,1,0,,S1
0.7108,2,1,0,,S1
0.43910000000000005,2,1,0,,S1
0.4068,2,1,0,,S1
0.3033,2,0,0,,S1
0.4607,2,1,0,,S1
0.5647000000000001,1,1,0,,S1
0.5104,1,1,0,,S1
0.43739999999999996,1,1,0,,S1
0.43,2,0,0,,S1
0.4754,1,1,0,,S1
0.4636,2,0,0,,S1
0.5046,1,0,0,,S1
0.49489999999999995,1,1,0,,S1
0.5787,1,1,0,,S1
0.3758,1,0,0,,S1
0.5546,1,1,0,,S1
0.7155,2,1,0,,S1
0.4938,1,0,0,,S1
0.4898,2,1,0,,S1
0.5726,1,1,0,,S1
0.45430000000000004,2,1,0,,S1
